wiêkszoœæ absolutna ; ** ; AD  ; 21 ;
domek  kempingowy ; ** ; AC ;  ; 
domek  z *GBBAA kart *AGAAA ; *-- ; AC ;  ; 
domowe  pielesze ; ** ; AG ;  ; #21?
dorobek  artystyczny ; ** ; AC ; 21 ; 
dorobek  kulturalny ; ** ; AC ;  ; #21?
dowód  mi³oœci ; *- ; AC ;  ; 
dowód  osobisty ; ** ; AC ;  ;
$ dowód to¿samoœci ; *- ; AC ; ; 
dowód  rzeczowy ; ** ; AC ;  ; 
dozór  policyjny ; ** ; AC ;  ; #21?
drabina  spo³eczna ; ** ; AD ; 21 ; 
drakoñskie  prawo ; ** ; AE ;  ; 
$ drakoñskie  przepisy ; ** ; AG ;  ; 
dramat  historyczny ; ** ; AC ;  ; 
dramat  obyczajowy ; ** ; AC ;  ; 
dramat  rodzinny ; ** ; AC ;  ; 
drapacz  chmur ; *- ; AC ;  ; 
dreszcz  grozy ; *- ; AC ;  ; 
dreszcz  rozkoszy ; *- ; AC ;  ; 
drobna  szlachta ; ** ; AD ;  ; #wariant: szlachta zaœciankowa (zagrodowa)?
drobny  kupiec ; ** ; AA ;  ; 
drobny  przemys³ ; ** ; AC ;  ; 
drobny  rzemieœlnik ; ** ; AA ;  ; 
droga *ADAB  administracyjna ; ** ; AD ;  ; 
droga *ADAB l¹dowa ; ** ; AD ;  ; 
droga *ADAB morska ; ** ; AD ;  ; 
droga *ADAB powietrzna ; ** ; AD ;  ; 
droga *ADAB prawna ; ** ; AD ;  ; 
droga *ADAB publiczna ; ** ; AD ;  ; #21?
droga *ADAB s³u¿bowa ; ** ; AD ;  ; 
droga *ADAB urzêdowa ; ** ; AD ;  ; 
droga *ADAB wodna ; ** ; AD ;  ; 
drogie  kamienie ; ** ; AG ;  ; 
druga  klasa ; ** ; AD ; ; #21?
druga  m³odoœæ ; ** ; AD ;  ; 
druga  ojczyzna ; ** ; AD ;  ; 
druga  osoba ; ** ; AD ;  ; 
druga  strona  medalu ; **- ; AD ;  ; 
$ odwrotna strona medalu ; **- ; AD ; ; 
druga  zmiana ; ** ; AD ;  ; #wsg?
drugi  bieg ; ** ; AC ;  ; 
drugi  g³os ; ** ; AC ;  ; 
drugie  danie *AEBAA ; ** ; AE ;  ; #podwójny wpis w clp
drugie  imiê ; ** ; AE ;  ; 
drugie  œniadanie ; ** ; AE ;  ; 
drut  elektryczny ; ** ; AC ;  ; 
drut  kolczasty ; ** ; AC ;  ; 
druty  wysokiego napiêcia ; *-- ; AG ;  ; #ew. lp?
$ linia wysokiego napiêcia ; *-- ; AD ; ;
dru¿yna  harcerska ; ** ; AD ;  ; 
dru¿yna  sportowa ; ** ; AD ;  ; 
drzewo  figowe ; ** ; AE ;  ; 
drzewo  genealogiczne ; ** ; AE ;  ; 
drzewo  kamforowe ; ** ; AE ;  ; 
drzewo  owocowe ; ** ; AE ;  ; 
dubeltowy  dureñ *AAABAB ; ** ; AA ;  ; #dwa wzorce odmiany!
$ dubeltowy  osio³ *AAACAAAB ; ** ; AA ;  ; 
duby smalone ; -- ; AG ;  ; 
duch  czasu ; *- ; AB ;  ; 
duch  epoki ; *- ; AB ;  ; 
duch  narodowy ; ** ; AB ;  ; 
duch  nieczysty ; ** ; AB ;  ;
dumka  kozacka ; ** ; AD ;  ; 
$ dumka  ukraiñska ; ** ; AD ;  ; 
dupa  wo³owa ; ** ; AD ;  ; 
dusza  pokutuj¹ca ; ** ; AD ; 21 ; 
du¿e  pieni¹dze ; ** ; AG ;  ; 
dworzec  autobusowy ; ** ; AC ;  ; 
dworzec  kolejowy ; ** ; AC ;  ; 
dworzec  towarowy ; ** ; AC ;  ; 
dwór  królewski ; ** ; AC ; 21 ; 
dwór  szlachecki ; ** ; AC ; 21 ; #+dwór ksi¹¿êcy
dwuznaczna  sytuacja ; ** ; AD ;  ; 
dwuznaczny  uœmiech ; ** ; AC ;  ; 
dyktatura  proletariatu ; *- ; AD ;  ; 
dyktatura  wojskowa ; ** ; AD ;  ; 
dyrektor  administracyjny ; ** ; AA ;  ; 
dyrektor  techniczny ; ** ; AA ;  ; 
dyscyplina  naukowa ; ** ; AD ;  ; 
dyscyplina  partyjna ; ** ; AD ; 21 ; 
dyscyplina  pracy ; *- ; AD ;  ; 
dyscyplina  sportowa ; ** ; AD ;  ; 
dyscyplina  wewnêtrzna ; ** ; AD ; 21 ; 
dyscyplina  wojskowa ; ** ; AD ; 21 ; 
dysertacja  doktorska ; ** ; AD ;  ; 
dziadowski  bicz ; ** ; AC ;  ; 
dzia³anie  arytmetyczne ; ** ; AE ;  ; 
dzia³anie  uboczne ; ** ; AE ;  ; 
dzieci kwiaty ; ** ; AG ; hipisi ; #ew. lp?
dziecinna  igraszka ; ** ; AD ;  ; 
dziecko  szczêœcia ; *- ; AE ;  ; 
dziecko z *GBBAA nieprawego ³o¿a ; *--- ; AE ; ; #warianty: bêkart (wulg.), bastard (nie do koñca synonimiczne)? 
dzie³o  sztuki ; *- ; AE ;  ; 
dziennik  podawczy ; ** ; AC ;  ; 
dziennik  pok³adowy ; ** ; AC ;  ; 
dziennik  telewizyjny ; ** ; AC ;  ; 
dzieñ *ACABBB powszedni ; ** ; AC ;  ; 
dzieñ *ACABBB pracy ; *- ; AC ;  ; 
dzieñ *ACABBB œwi¹teczny ; ** ; AC ;  ; 
dzieñ *ACABBB targowy ; ** ; AC ;  ; 
dziewczyna  spod latarni *ADACBAA ; *-- ; AA ; prostytutka ; 
dzika *CBA kaczka ; ** ; AB ;  ; 
dzikie  miêso ; ** ; AE ;  ; 
dziurawa  kieszeñ ; ** ; AD ;  ; 
dziurawe  rêce ; ** ; AG ;  ; 
dziwy *AGAB nad dziwami *AGAB ; *-- ; AG ;  ; 
dŸwig  towarowy ; ** ; AC ;  ; 
efekty  specjalne ; ** ; AG ;  ; 
egzamin  dojrza³oœci ; *- ; AC ; matura ; 
egzamin  komisyjny ; ** ; AC ;  ; 
egzamin  magisterski ; ** ; AC ;  ; 
egzemplarz  autorski ; ** ; AC ; 21 ; 
ekonomia  polityczna ; ** ; AD ;  ; 
eliksir  m³odoœci ; *- ; AC ;  ; #+mi³oœci 
emigracja  polityczna ; ** ; AD ;  ; 
energia  atomowa ; ** ; AD ;  ; 
energia  cieplna ; ** ; AD ;  ; 
energia  elektryczna ; ** ; AD ;  ; #wariant: pr¹d?
energia  kinetyczna ; ** ; AD ;  ; 
energia  potencjalna ; ** ; AD ;  ; 
energia  s³oneczna ; ** ; AD ;  ; 
enklawa  ciszy ; *- ; AD ;  ;
epokowy  wynalazek ; ** ; AC ;  ; 
etyka *ADAB lekarska ; ** ; AD ;  ; 
etyka *ADAB zawodowa ; ** ; AD ;  ; 
fabryka  snów ; *- ; AD ; Hollywood ; 
fachowa  rêka ; ** ; AD ;  ; 
fachowe  oko *AEACA ; ** ; AE ;  ; #dwa wzorce odmiany!
fala  upa³ów ; *- ; AD ;  ; 
fala  akustyczna ; ** ; AD ;  ; 
$ fala  dŸwiêkowa ; ** ; AD ;  ; 
fale *ADACBABA  d³ugie ; ** ; AD ;  ; 
fale *ADACBABA  eteru ; *- ; AG ;  ; 
fala  g³osowa ; ** ; AD ;  ; #wariant fali akustycznej?
fale *ADACBABA krótkie ; ** ; AD ;  ; 
fale *ADACBABA ultrakrótkie ; ** ; AD ;  ; #lp?
fa³d *ACAAAAA skórny ; ** ; AC ;  ; 
fa³szywa  moneta ; ** ; AD ;  ; 
fa³szywa  skromnoœæ ; ** ; AD ;  ; 
fa³szywy  alarm ; ** ; AC ;  ; 
fa³szywy  prorok ; ** ; AA ;  ; 
fasola  per³owa ; ** ; AD ;  ; 
fenomen *ACAAAAA natury ; *- ; AC ;  ; #wariant: wybryk? 
ferie  œwi¹teczne ; ** ; AG ;  ; #wariant: przerwa?
ferie  wielkanocne ; ** ; AG ; ;  #jw
ferie  zimowe ; ** ; AG ;  ;
figura  geometryczna ; ** ; AD ;  ; 
figura  retoryczna ; ** ; AD ; ; 
figura  stylistyczna ; ** ; AD ; 21 ; 
fikcja  literacka ; ** ; AD ;  ; 
filologia  klasyczna ; ** ; AD ;  ; #+ filologie
filozofia  materialistyczna ; ** ; AD ;  ; #21?
filozofia  ¿yciowa ; ** ; AD ; 21 ; 
fio³ek  alpejski ; ** ; AC ;  ; 
fizyka *ADAB doœwiadczalna ; ** ; AD ;  ; 
formacja  geologiczna ; ** ; AD ;  ; #21?
formacja  spo³eczna ; ** ; AD ;  ; 
formu³a  grzecznoœciowa ; ** ; AD ; 21 ; 
$ formu³ka grzecznoœciowa ; ** ; AD ; 21 ; 
formu³a  prawna ; ** ; AD ;  ; 
fotel  dentystyczny ; ** ; AC ;  ; 
fundusz  powierniczy ; ** ; AC ;  ; 
fundusz  reprezentacyjny ; ** ; AC ;  ; 
fundusz  socjalny ; ** ; AC ;  ; 
gabinet  figur woskowych ; *-- ; AC ;  ; 
gabinet  kosmetyczny ; ** ; AC ;  ; 
gabinet  lekarski ; ** ; AC ;  ; 
gabinet  osobliwoœci ; *- ; AC ;  ; 
galanteria  skórzana ; ** ; AD ;  ; 
gama  kolorów *AGAB ; *- ; AD ;  ; 
gard³owa  sprawa ; ** ; AD ;  ; 
gaz *ACAAAAA bojowy ; ** ; AC ;  ; 
gaz *ACAAAAA ziemny ; ** ; AC ;  ; 
gaza  higroskopijna ; ** ; AD ;  ; 
genera³ *AAAAAA armii ; *- ; AA ;  ; 
genera³ *AAAAAA brygady ; *- ; AA ;  ; 
genera³ *AAAAAA dywizji ; *- ; AA ;  ; #+inne stopnie
geografia  fizyczna ; ** ; AD ;  ; 
gêsia  skórka ; ** ; AD ;  ; 
gêœ  gêgawa ; ** ; AD ;  ; #termin?
gêœ  siod³ata ; ** ; AD ;  ; #termin?
giez  bydlêcy ; ** ; AB ;  ; #termin? 
g³¹b *AAACAAAB kapuœciany ; ** ; AA ; 21 ; 
$ g³odne kawa³ki ; ** ; AG ; ; 
g³os  protestu ; *- ; AC ;  ; 
g³os  rozs¹dku ; *- ; AC ;  ; 
g³os  serca ; *- ; AC ;  ; 
g³os  wo³aj¹cego na puszczy ; *--- ; AC ;  ; 
g³oska  bezdŸwiêczna ; ** ; AD ;  ; 
g³oska  dŸwiêczna ; ** ; AD ;  ; 
g³owa  do poz³oty ; *-- ; AD ;  ; 
g³owa  koœcio³a ; *- ; AD ;  ; #wariant: papie¿? - w przypadku koœcio³a lokalnego mo¿e byc to biskup...
g³owa  rodu *ACAAAAA 1076102 ; *- ; AD ;  ; #ród, rod - takie same etykiety
g³ód  pieniêdzy ; *- ; AC ;  ; 
g³ód  wiedzy ; *- ; AC ;  ; 
g³ód  ziemi ; *- ; AC ;  ; 
g³ówna  rola ; ** ; AD ;  ; 
g³ucha  cisza ; ** ; AD ;  ; 
gniazdo  rodzinne ; ** ; AE ; 21 ; 
godzina  policyjna ; ** ; AD ;  ; 
godzina  zemsty ; *- ; AD ;  ; 
godziny  nadliczbowe ; ** ; AD ;  ; 
go³¹b  pocztowy ; ** ; AB ;  ; 
go³¹b  pokoju ; *- ; AB ;  ; 
$ go³¹bek *ABAC pokoju ; *- ; AB ;  ; 
gor¹ce  oklaski ; ** ; AG ;  ; #wariant: 'burzliwe oklaski'?
gor¹cy  okres ; ** ; AC ;  ; 
gorsza sprawa ; -- ; AD ;  ; #nieodmienna?
gorzka  ironia ; ** ; AD ;  ; 
gorzka  prawda ; ** ; AD ;  ; 
gorzki  chleb ; ** ; AC ;  ; 
gorzki  kielich ; ** ; AC ;  ; 
$ kielich goryczy ; *- ; AC ; ;
$ czara goryczy ; *- ; AD ; ;
gorzkie  doœwiadczenie ; ** ; AE ;  ; 
gorzkie  ¿ale ; ** ; AG ;  ; 
gospodarka  dwupolowa ; ** ; AD ; dwupolówka ; #+trójpolówka
gospodarka  narodowa ; ** ; AD ;  ; 
gospodarstwo  domowe ; ** ; AE ;  ; #21?
gospodarstwo  rolne ; ** ; AE ;  ; 
goœcinne  progi ; ** ; AG ;  ; 
goœcinny  wystêp ; ** ; AC ; 21 ; 
gra *ADAAA s³ów ; *- ; AD ;  ; 
gra *ADAAA w berka ; *-- ; AD ; berek ; 
gra *ADAAA w ciuciubabkê ; *-- ; AD ; ciuciubabka ; 
graj¹ca  szafa ; ** ; AD ; 21 ; 
granatowy  policjant ; ** ; AA ;  ; 
grecki  obrz¹dek ; ** ; AC ;  ; 
grobowa  cisza ; ** ; AD ; 21 ; 
grobowe  milczenie ; ** ; AE ;  ; 
grobowy  g³os ; ** ; AC ;  ; 
groch z kapust¹ ; *-- ; AC ;  ; 
grono  rodzinne ; ** ; AE ; 21 ; 
grosz  wdowi ; ** ; AC ; 21 ; 
groszek *ACABA konserwowy ; ** ; AC ;  ; 
groszek *ACABA ptysiowy ; ** ; AC ;  ; 
grób  rodzinny ; ** ; AC ; 21 ; #wariant: grobowiec rodzinny?
gruba  forsa ; ** ; AD ;  ; 
gruba  ryba ; ** ; AD ;  ; 
gruby  nietakt ; ** ; AC ;  ; 
gruczo³  ch³onny ; ** ; AC ;  ; 
gruczo³  dokrewny ; ** ; AC ;  ;
gruczo³  jadowy ; ** ; AC ;  ; 
gruczo³  p³ciowy ; ** ; AC ;  ;
grupa  atomowa ; ** ; AD ;  ;
grupa  krwi ; *- ; AD ;  ; 
grupa  spo³eczna ; ** ; AD ;  ; 
grzbiet  górski ; ** ; AC ; 21 ; 
grzech  œmiertelny ; ** ; AC ; 21 ;
$ grzech ciê¿ki ; ** ; AC ; 21 ; 
grzechy  m³odoœci ; *- ; AG ;  ; #lp?
grzeszna  myœl *ADCCA ; ** ; AD ;  ; 
grzeszny  œwiat ; ** ; AC ;  ; #21?
grzyb  jadalny ; ** ; AC ; 21 ; 
grzybki *ACABBA marynowane ; ** ; AG ;  ; #lp?
grzyby  suszone ; ** ; AG ;  ; #lp?
guma  arabska ; ** ; AD ;  ; 
guma  do ¿ucia ; *-- ; AD ;  ; 
gwiazda  filmowa ; ** ; AD ; 21 ; 
gwiazda  piêcioramienna ; ** ; AD ; pentagram ; #ka¿da gp to pentagram?
gwiazdor  filmowy ; ** ; AA ; 21 ; 
gwóŸdŸ *ACACBAA do trumny ; *-- ; AC ;  ; 
gwóŸdŸ *ACACBAA programu ; *- ; AC ;  ; 
hala sportowa ; ** ; AD ;  ; #21?
hala  targowa ; ** ; AD ;  ; 
hamulec  bezpieczeñstwa ; *- ; AC ;  ; 
hamulec  rêczny ; ** ; AC ;  ; 
handel  detaliczny ; ** ; AC ;  ; 
handel  zagraniczny ; ** ; AC ;  ; 
hart  ducha ; *- ; AC ;  ; 
hetman *AAADAA polny ; ** ; AA ; ;  
hetman  *AAADAA wielki ; ** ; AA ; ; 
hiena  cmentarna ; ** ; AD ;  ; 
hierarchia  spo³eczna ; ** ; AD ; 21 ; 
higiena  intymna ; ** ; AD ;  ; 
higiena  osobista ; ** ; AD ; 21 ; 
higiena  pracy ; *- ; AD ;  ; 
histeria  zbiorowa ; ** ; AD ; 21 ; 
historia  choroby ; *- ; AD ;  ; 
historia  nowo¿ytna ; ** ; AD ;  ; #21?
historia  powszechna ; ** ; AD ;  ; 
historia  staro¿ytna ; ** ; AD ;  ; 
hiszpañska  bródka ; ** ; AD ;  ; #21?
hokej  na lodzie *ACAAAAA ; *-- ; AC ;  ; 
hokej  na trawie ; *-- ; AC ;  ; 
ho³d  lenny ; ** ; AC ;  ; 
honorowy  dawca  krwi ; **- ; AA ;  ; #ew. 'dawca krwi'?
honorowy  obywatel ; ** ; AA ; 21 ; 
honory *AGAB wojskowe ; ** ; AG ;  ; 
horyzont  myœlowy ; ** ; AC ; 21 ; 
hotel  robotniczy ; ** ; AC ;  ;  
huk  roboty *ADAAA ; *- ; AC ;  ; 
hymn  narodowy ; ** ; AC ; 21 ; 
idea  przewodnia ; ** ; AD ; 21 ; 
idealizm  historyczny ; ** ; AC ;  ; 
igrzyska  olimpijskie ; ** ; AG ; olimpiada ; 
ikarowe  loty ; ** ; AG ;  ; 
immunitet  dyplomatyczny ; ** ; AC ;  ; #21?
immunitet  poselski ; ** ; AC ;  ; #21?
imperatyw  kategoryczny ; ** ; AC ;  ; #termin?
instrument  dêty ; ** ; AC ;  ; 
instrument  szarpany ; ** ; AC ;  ; #+i. uderzany
instynkt  macierzyñski ; ** ; AC ;  ; 
instytut  badawczy ; ** ; AC ;  ; 
instytut  naukowy ; ** ; AC ;  ; 
instytut  wydawniczy ; ** ; AC ;  ; 
insygnia  koronne ; ** ; AG ;  ; 
insygnia  królewskie ; ** ; AG ;  ; #wariant? +insygnia w³adzy
inteligencja  techniczna ; ** ; AD ; 21 ; 
interpelacja  poselska ; ** ; AD ;  ; #21?
interwencja  zbrojna ; ** ; AD ; 21 ; 
inwalida  wojenny ; ** ; AA ; ; 
inwentarz  domowy ; ** ; AC ;  ; 
in¿ynier  elektryk *AAACBA ; ** ; AA ;  ; #wsg?
in¿ynier  mechanik *AAACBA ; ** ; AA ;  ; #wsg?
ironia  losu ; *- ; AD ;  ; 
iskra  bo¿a ; ** ; AD ; 21 ; 
iskra  elektryczna ; ** ; AD ;  ; 
iskra  nadziei ; *- ; AD ;  ; 
istota  ludzka ; ** ; AD ; 21 ; 
istota  nadprzyrodzona ; ** ; AD ; 21 ; 
istota  rozumna ; ** ; AD ; 21 ; 
istota  rzeczy ; *- ; AD ; ; 
izba  porodowa ; ** ; AD ;  ; 
izba  poselska ; ** ; AD ;  ; 
izba  przyjêæ ; *- ; AD ;  ; 
izba  wytrzeŸwieñ ; *- ; AD ;  ; 
izba  zatrzymañ ; *- ; AD ;  ; 
jab³ko  niezgody ; *- ; AE ;  ; 
jad  kie³basiany ; ** ; AC ;  ; 
jadowite  spojrzenie ; ** ; AE ;  ; 
jadowity  uœmiech ; ** ; AC ;  ; 
jajko na miêkko ; *-- ; AE ;  ; #wsg: 'na miêkko'?
jajko na twardo ; *-- ; AE ;  ; #wsg: 'na twardo'?
ja³owa  dyskusja ; ** ; AD ;  ; 
ja³owa  ziemia ; ** ; AD ; 21 ; 
ja³owy  opatrunek ; ** ; AC ; 21 ; 
jama  brzuszna ; ** ; AD ;  ; 
jarzmo  ma³¿eñskie ; ** ; AE ;  ; 
jaskinia  gry ; *- ; AD ;  ; 
jaskinia  grzechu ; *- ; AD ;  ; 
jaskinia  zbójców ; *- ; AD ;  ; 
jaskó³cze  ziele ; ** ; AE ;  ; 
jaskó³czy  ogon ; ** ; AC ;  ; 
jednostka  czasu ; *- ; AD ;  ; 
jednostka  miary ; *- ; AD ;  ; 
jednostka  wagi ; *- ; AD ;  ; #jednostki innych wielkoœci
jednostka  wojskowa ; ** ; AD ;  ; 
jednoœæ  czasu ; *- ; AD ;  ; 
jedwabne  ¿ycie *AEBAA ; ** ; AE ;  ; 
jeniec  wojenny ; ** ; AA ;  ; 
jesieñ  kalendarzowa ; ** ; AD ;  ; 
jesieñ  ¿ycia ; *- ; AD ;  ; 
jeŸdziec *AAACAAAA Apokalipsy ; *- ; AA ;  ; #3wo
jêzyczek  u wagi ; *-- ; AC ;  ; 
jêzyk  literacki ; ** ; AC ;  ; 
jêzyk  migowy ; ** ; AC ;  ; 
jêzyk  ojczysty ; ** ; AC ;  ; 
jêzyk  potoczny ; ** ; AC ;  ; 
jon  dodatni ; ** ; AC ;  ; #+jon ujemny
judaszowe  pieni¹dze ; ** ; AG ;  ; 
$ judaszowe  srebrniki ; ** ; AG ;  ; 
kaczka  dziennikarska ; ** ; AD ;  ; 
kaczka  dziwaczka ; ** ; AD ;  ; 
kaczy  chód ; ** ; AC ;  ; 
kaczy  kuper ; ** ; AC ;  ; 
kadra  narodowa ; ** ; AD ; 21 ; 
kaftan  bezpieczeñstwa ; *- ; AC ;  ; 
kalectwo  ¿yciowe ; ** ; AE ;  ; 
kalendarz  gregoriañski ; ** ; AC ;  ; 
kalendarz  juliañski ; ** ; AC ;  ; 
kalendarz  kieszonkowy ; ** ; AC ;  ; 
kalendarz  ksiê¿ycowy ; ** ; AC ;  ; 
kalendarz  s³oneczny ; ** ; AC ;  ; 
kalendarz  wyborczy ; ** ; AC ;  ; #21?
kalendarzyk  ma³¿eñski ; ** ; AC ;  ; #21?
kalka  techniczna ; ** ; AD ;  ; 
kamieñ  szlachetny ; ** ; AC ;  ; 
kamienne  serce ; ** ; AE ;  ; 
$ serce z kamienia ; *-- ; AE ; ;
kamienny  sen ; ** ; AC ;  ; 
kamienny  spokój ; ** ; AC ;  ; 
kamieñ  filozoficzny ; ** ; AC ;  ; 
kamieñ  milowy ; ** ; AC ;  ; 
kamieñ  m³yñski ; ** ; AC ; 21 ; 
kamieñ  obrazy *ADAAA ; *- ; AC ;  ; 
kamieñ  pó³szlachetny ; ** ; AC ;  ; 
kamieñ  wêgielny ; ** ; AC ;  ; #21?
kamizelka  ratunkowa ; ** ; AD ;  ; 
kampania  wyborcza ; ** ; AD ;  ; 
kana³  burzowy ; ** ; AC ;  ; 
kapitalny  remont ; ** ; AC ;  ; 
kapita³ *ACAAAAA bankowy ; ** ; AC ;  ; 
kapita³ *ACAAAAA zak³adowy ; ** ; AC ;  ; 
kaprys  losu ; *- ; AC ;  ; 
kaprysy  pogody ; *- ; AG ;  ; 
kapusta  kiszona ; ** ; AD ; 21 ; 
kapuœciana  g³owa ; ** ; AD ;  ; 
karabin  maszynowy ; ** ; AC ;  ; 
karczemna  awantura ; ** ; AD ;  ; 
kardynalny  b³¹d ; ** ; AC ;  ; 
karetka  pogotowia ; *- ; AD ;  ; 
karta *ADAAA chorobowa ; ** ; AD ;  ; 
kartofle w mundurkach ; *-- ; AG ;  ; 
$ ziemniaki w mundurkach ; *-- ; AG ; ;
kasa  pancerna ; ** ; AD ;  ; #21? wariant: sejf?
kaskada  œmiechu ; *- ; AD ;  ; 
kasza  gryczana ; ** ; AD ;  ; 
kasza  jaglana ; ** ; AD ;  ; 
kasza  jêczmienna ; ** ; AD ;  ; 
kasza  krakowska ; ** ; AD ;  ; 
kasza  kukurydziana ; ** ; AD ;  ; 
kasza  manna ; ** ; AD ;  ; 
kasza  per³owa ; ** ; AD ;  ; 
kaszka  na mleku ; *-- ; AD ;  ; 
kaszka z *GBBAA mlekiem ; *-- ; AD ;  ; 
katar *ACAAAAA kiszek ; *- ; AC ;  ; 
$ katar *ACAAAAA  ¿o³¹dka ; *- ; A ;  ; 
katar *ACAAAAA sienny ; ** ; AC ;  ; 
kawa  zbo¿owa ; ** ; AD ;  ; 
kawalerska  fantazja ; ** ; AD ;  ; 
$ u³añska fantazja ; ** ; AD ; ;
kawa³ ch³opa ; -- ; AC ;  ; #odmiana?
kawa³ drania ; -- ; AC ;  ; 
kawa³ ³obuza ; -- ; AC ;  ; #wariant do drania
kawa³ roboty *ADAAA ; -- ; AC ;  ; 
kawa³ œwiata ; -- ; AC ;  ; 
kawa³ ¿ycia ; -- ; AC ;  ; 
k¹piel  s³oneczna ; ** ; AD ;  ; 
k¹t  dodatni ; ** ; AC ;  ; 
k¹t  odbicia ; *- ; AC ;  ; 
k¹t  ostry ; ** ; AC ;  ; 
k¹t  padania ; *- ; AC ;  ; 
k¹t  pe³ny ; ** ; AC ;  ; 
k¹t  prosty ; ** ; AC ;  ; #inne k¹ty
k¹t  widzenia ; *- ; AC ; ; 
k¹t  za³amania ; *- ; AC ;  ; 
kie³basa  wyborcza ; ** ; AD ;  ; 
kie³bie we ³bie ; *-- ; AG ;  ; 
kierownik  artystyczny ; ** ; AA ;  ; 
kierownik  literacki ; ** ; AA ;  ; 
kierunek  studiów *AGDB ; *- ; AC ;  ; 
kit *ACAAAAA pszczeli ; ** ; AC ; ; #21?
klatka  piersiowa ; ** ; AD ;  ; 
klatka  schodowa ; ** ; AD ;  ; 
klejnot  herbowy ; ** ; AC ;  ; 
klejnoty  koronne ; ** ; AG ;  ; 
klêska  g³odu ; *- ; AD ;  ; 
klub  dyskusyjny ; ** ; AC ;  ; 
klub  poselski ; ** ; AC ;  ; 
kluczowe  zagadnienie ; ** ; AE ;  ; 
kluczowy  problem ; ** ; AC ;  ; 
kluski *AGBA lane ; ** ; AG ; 21 ; 
kluski *AGBA na parze *ADAAA ; *-- ; AG ;  ; 
k³êbek  nerwów ; *- ; AC ;  ; 
k³êbowisko  ¿mij ; *- ; AE ;  ; 
kobieta  lekkich obyczajów ; *-- ; AD ; prostytutka ; 
kocia  mama ; ** ; AD ;  ; 
kocia  muzyka *ADAB ; ** ; AD ;  ; 
kod *ACAAAAA genetyczny ; ** ; AC ; 21 ; 
kod *ACAAAAA pocztowy ; ** ; AC ;  ; 
kodeks  cywilny ; ** ; AC ;  ; 
kodeks  dyplomatyczny ; ** ; AC ;  ; 
kodeks  honorowy ; ** ; AC ;  ; 
kodeks  rodzinny ; ** ; AC ;  ; 
kokosowy  interes ; ** ; AC ;  ; 
kolebka  kultury ; *- ; AD ;  ; 
kolega  po fachu ; *-- ; AA ;  ; 
kolega  po piórze ; *-- ; AA ;  ; 
kolej  rzeczy ; *- ; AD ;  ; 
kolej  ¿elazna ; ** ; AD ; 21 ; 
koleje *AGCC  losu ; *- ; AG ;  ; 
koloryt lokalny ; ** ; AC ;  ; 
kolos  na glinianych nogach ; *--- ; AA ;  ; 
kombinacja  klasyczna ; ** ; AD ;  ; 
komisja  dyscyplinarna ; ** ; AD ;  ; 
komisja  lekarska ; ** ; AD ;  ; 
komisja  rewizyjna ; ** ; AD ;  ; 
komora  celna ; ** ; AD ;  ; 
komora  gazowa ; ** ; AD ;  ; 
komórka  partyjna ; ** ; AD ;  ; #21?
komórki do wynajêcia ; --- ; AG ;  ; 
kompania  honorowa ; ** ; AD ;  ; 
kompleks  ni¿szoœci ; *- ; AC ;  ; 
kompletne  zero ; ** ; AE ;  ; 
koncert  kameralny ; ** ; AC ;  ; 
konferencja  prasowa ; ** ; AD ;  ; 
konflikt  serologiczny ; ** ; AC ;  ; 
koñ *ABAABB mechaniczny ; ** ; AB ;  ; 
konik *ABAC morski ; ** ; AB ;  ; 
konik *ABAC polny ; ** ; AB ;  ; 
konkurencja  sportowa ; ** ; AD ;  ; 
konkurs  otwarty ; ** ; AC ;  ; 
konwent  seniorów ; *- ; AC ;  ; 
koñ *ABAABB huculski ; ** ; AB ;  ; 
koñ *ABAABB na biegunach ; *-- ; AB ;  ; 
$ konik *ABAC na biegunach ; *-- ; AB ; ;
koñ *ABAABB pe³nej krwi ; *-- ; AB ;  ; 
koñ *ABAABB poci¹gowy ; ** ; AB ;  ; 
koñ *ABAABB pod wierzch ; *-- ; AB ;  ; 
koñ *ABAABB trojañski ; ** ; AB ;  ; 
koñ *ABAABB wyœcigowy ; ** ; AB ;  ; 
koñska  dawka ; ** ; AD ;  ; 
koñski  ogon ; ** ; AC ;  ; 
koñskie  zdrowie ; ** ; AE ;  ; 
kopalnia  wiadomoœci ; *- ; AD ;  ; 
kora  mózgowa ; ** ; AD ;  ; 
kordon  bezpieczeñstwa ; *- ; AC ;  ; 
korona  cierniowa ; ** ; AD ; 21 ; 
korona  s³oneczna ; ** ; AD ; 21 ; 
koronki  brabanckie ; ** ; AG ;  ; #lp? +inne koronki
koronkowa  robota *ADAAA ; ** ; AD ;  ; 
koronny  œwiadek ; ** ; AA ; 21 ; 
koronowana  g³owa ; ** ; AD ;  ; #wariant: król, królowa?
korpus  dyplomatyczny ; ** ; AC ;  ; 
korytarz  powietrzny ; ** ; AC ; ; 
koryto  rzeki ; *- ; AE ;  ; 
kostka  cukru ; *- ; AD ;  ; 
kosza³ki-opa³ki ; -- ; AG ;  ; 
koszty  reprezentacyjne ; ** ; AG ;  ; 
koszty  w³asne ; ** ; AG ;  ; 
koszula  nocna ; ** ; AD ;  ; 
koœció³  anglikañski ; ** ; AC ;  ; 
koœció³  ewangelicki ; ** ; AC ;  ; 
